journal,year,title,doi,paper_url,github_url,evidence,search_status,github_candidates,notes
Nature,2026,China intensifies push to become world leader in tech and AI,10.1038/d41586-026-00814-3,https://doi.org/10.1038/d41586-026-00814-3,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,Sea-urchin spines generate electrical signals in flowing water,10.1038/d41586-026-00374-6,https://doi.org/10.1038/d41586-026-00374-6,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,Pokémon turns 30 — how the fictional pocket monsters shaped science,10.1038/d41586-026-00441-y,https://doi.org/10.1038/d41586-026-00441-y,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,Peanut-processing microbes ward off dangerous allergic shock,10.1038/d41586-026-00668-9,https://doi.org/10.1038/d41586-026-00668-9,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,Predictive coding of reward in the hippocampus,10.1038/s41586-025-09958-0,https://doi.org/10.1038/s41586-025-09958-0,,,code_on_request,,Nature code availability: available on request.
Nature,2026,How bioRxiv changed the way biologists share ideas — in numbers,10.1038/d41586-026-00709-3,https://doi.org/10.1038/d41586-026-00709-3,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,The ethical risks of open-access agreements being used for authorship leverage,10.1038/d41586-026-00776-6,https://doi.org/10.1038/d41586-026-00776-6,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,"Hey ChatGPT, write me a fictional paper: these LLMs are willing to commit academic fraud",10.1038/d41586-026-00595-9,https://doi.org/10.1038/d41586-026-00595-9,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,Author Correction: Myocardial reprogramming by HMGN1 underlies heart defects in trisomy 21,10.1038/s41586-026-10283-3,https://doi.org/10.1038/s41586-026-10283-3,,,not_research,,Editorial/correction item; no figure code expected.
Nature,2026,Robust cytoplasmic partitioning by solving a cytoskeletal instability,10.1038/s41586-025-10023-z,https://doi.org/10.1038/s41586-025-10023-z,,,github_found,https://github.com/lamsoa729/AsterInvasion,Nature code availability links to GitHub (simulation code).
Nature,2026,Photonic ‘ski jump’ steers light beam from silicon chip,10.1038/d41586-026-00489-w,https://doi.org/10.1038/d41586-026-00489-w,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,Higher-dimensional Fermiology in bulk moiré metals,10.1038/s41586-026-10173-8,https://doi.org/10.1038/s41586-026-10173-8,,,no_code_stated,,No 'Code availability' section found in accessible HTML.
Nature,2026,Entanglement-assisted non-local optical interferometry in a quantum network,10.1038/s41586-026-10171-w,https://doi.org/10.1038/s41586-026-10171-w,,,code_on_request,,Nature code availability: available on request.
Nature,2026,Clearing trapped cholesterol could relieve lymphoedema,10.1038/d41586-026-00176-w,https://doi.org/10.1038/d41586-026-00176-w,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,Capturing dynamic phage–pathogen coevolution by clinical surveillance,10.1038/s41586-026-10136-z,https://doi.org/10.1038/s41586-026-10136-z,"Seemann, T. Snippy: rapid haploid variant calling and core SNP phylogeny. GitHub https://github.com/tseemann/snippy (2015).",crossref_metadata,no_custom_code,,Code availability states no custom code was used.
Nature,2026,Memory loss is fuelled by gut microbes in ageing mice,10.1038/d41586-026-00768-6,https://doi.org/10.1038/d41586-026-00768-6,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,Universities have become property businesses. What does that mean for research?,10.1038/d41586-025-04167-1,https://doi.org/10.1038/d41586-025-04167-1,,,not_research,,News/editorial item; no figure code expected.
Nature,2026,Structures of Marburgvirus glycoprotein and its complex with NPC1 receptor,10.1038/s41586-026-10240-0,https://doi.org/10.1038/s41586-026-10240-0,,,no_custom_code,,Nature code availability: no custom code used.
Nature,2026,Ageing promotes metastasis via activation of the integrated stress response,10.1038/s41586-026-10216-0,https://doi.org/10.1038/s41586-026-10216-0,,,no_code_stated,,No 'Code availability' section found in accessible HTML.
Nature,2026,Risk-adaptive therapy guided by dynamic ctDNA in nasopharyngeal carcinoma,10.1038/s41586-026-10244-w,https://doi.org/10.1038/s41586-026-10244-w,,,no_code_stated,,No 'Code availability' section found in accessible HTML.
Science,2026,In Other Journals,10.1126/science.aeh0793,https://doi.org/10.1126/science.aeh0793,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Plan to break up iconic U.S. climate lab moves ahead,10.1126/science.aeh1090,https://doi.org/10.1126/science.aeh1090,,,not_research,,Editorial/correction item; no figure code expected.
Science,2026,Programmable genome editing in human cells using RNA-guided bridge recombinases,10.1126/science.adz1884,https://doi.org/10.1126/science.adz1884,,,publisher_page_blocked,,Science.org DOI page blocked (403); no GitHub found in quick search.
