journal,title,doi,url,github_url,source_file
Cell,The MicrobeAtlas database: Global trends and insights into Earth’s microbial ecosystems,10.1016/j.cell.2026.01.021,https://doi.org/10.1016/j.cell.2026.01.021,Barrnap. https://github.com/tseemann/barrnap.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,The MicrobeAtlas database: Global trends and insights into Earth’s microbial ecosystems,10.1016/j.cell.2026.01.021,https://doi.org/10.1016/j.cell.2026.01.021,Clustering.jl. https://github.com/JuliaStats/Clustering.jl.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,The MicrobeAtlas database: Global trends and insights into Earth’s microbial ecosystems,10.1016/j.cell.2026.01.021,https://doi.org/10.1016/j.cell.2026.01.021,Distances.jl. https://github.com/JuliaStats/Distances.jl.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,The MicrobeAtlas database: Global trends and insights into Earth’s microbial ecosystems,10.1016/j.cell.2026.01.021,https://doi.org/10.1016/j.cell.2026.01.021,HypothesisTests.jl. https://github.com/JuliaStats/HypothesisTests.jl.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,The MicrobeAtlas database: Global trends and insights into Earth’s microbial ecosystems,10.1016/j.cell.2026.01.021,https://doi.org/10.1016/j.cell.2026.01.021,NCBI. SRA Toolkit. https://github.com/ncbi/sra-tools.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,The MicrobeAtlas database: Global trends and insights into Earth’s microbial ecosystems,10.1016/j.cell.2026.01.021,https://doi.org/10.1016/j.cell.2026.01.021,PyCall.jl. https://github.com/JuliaPy/PyCall.jl.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,The MicrobeAtlas database: Global trends and insights into Earth’s microbial ecosystems,10.1016/j.cell.2026.01.021,https://doi.org/10.1016/j.cell.2026.01.021,VegaLite.jl. https://github.com/queryverse/VegaLite.jl.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,Modeling human embryo implantation in vitro,10.1016/j.cell.2025.10.027,https://doi.org/10.1016/j.cell.2025.10.027,"Bogart, S. SankeyMATIC. Preprint at GitHub. https://github.com/nowthis/sankeymatic.",data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,A non-catalytic role for RFC in PCNA-mediated processive DNA synthesis,10.1016/j.cell.2025.12.029,https://doi.org/10.1016/j.cell.2025.12.029,"Watters, J.W. (2024). C-Trap.h5 File Visualization GUI. GitHub. https://github.com/lumicks/harbor/tree/main/Visualization/C-Trap%20.h5%20File%20Visualization%20GUI.s",data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,Extracellular matrix sensing regulates intratumoral heterogeneity of autophagic flux,10.1016/j.cell.2025.12.053,https://doi.org/10.1016/j.cell.2025.12.053,"Tickle, T., Tirosh, I., Georgescu, C., Brown, M., and Haas, B. (2019). inferCNV of the Trinity CTAT Project. Bioconductor. https://github.com/broadinstitute/inferCNV.",data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,Planetary microbiome structure and generalist-driven gene flow across disparate habitats,10.1016/j.cell.2025.12.051,https://doi.org/10.1016/j.cell.2025.12.051,"Oksanen, J., Simpson, G.L., Blanchet, F.G., Kindt, R., Legendre, P., Minchin, P.R., O'Hara, R.B., Solymos, P., Stevens, M.H.H., Szoecs, E., et al. (2025). vegan: an R package for community ecologists. GitHub. https://github.com/vegandevs/vegan.",data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,Planetary microbiome structure and generalist-driven gene flow across disparate habitats,10.1016/j.cell.2025.12.051,https://doi.org/10.1016/j.cell.2025.12.051,"Parks, D.H. (2022). PhyloRank. GitHub. https://github.com/donovan-h-parks/PhyloRank.",data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,Planetary microbiome structure and generalist-driven gene flow across disparate habitats,10.1016/j.cell.2025.12.051,https://doi.org/10.1016/j.cell.2025.12.051,"Seemann, T. (2020). ABRicate. GitHub. https://github.com/tseemann/abricate.",data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell,Evolutionary transcriptomics unveils rapid changes of gene expression patterns in flowering plants,10.1016/j.cell.2025.12.015,https://doi.org/10.1016/j.cell.2025.12.015,"Bengtsson, H. (2017). matrixStats: Functions that Apply to Rows and Columns of Matrices (and to Vectors). R package version 0.52.2. https://github.com/HenrikBengtsson/matrixStats.",data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Reports,Integrating natural and engineered genetic variations to decode regulatory influence on blood traits,10.1016/j.celrep.2026.116937,https://doi.org/10.1016/j.celrep.2026.116937,"Lareau, C. ATAC data. https://github.com/caleblareau/singlecell_bloodtraits/tree/master/data/bulk/ATAC.",data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Reports,Integrating natural and engineered genetic variations to decode regulatory influence on blood traits,10.1016/j.celrep.2026.116937,https://doi.org/10.1016/j.celrep.2026.116937,MPRAmodel https://github.com/tewhey-lab/MPRASuite/blob/main/MPRAmodel/MPRAmodel.R#L31.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Reports,Integrating natural and engineered genetic variations to decode regulatory influence on blood traits,10.1016/j.celrep.2026.116937,https://doi.org/10.1016/j.celrep.2026.116937,Peer https://github.com/PMBio/peer.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Reports,Integrating natural and engineered genetic variations to decode regulatory influence on blood traits,10.1016/j.celrep.2026.116937,https://doi.org/10.1016/j.celrep.2026.116937,meta-analysis code https://github.com/julirsch/finemapped_mpra/blob/main/code/preprocess/mpra_meta.R.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Reports,Integrating natural and engineered genetic variations to decode regulatory influence on blood traits,10.1016/j.celrep.2026.116937,https://doi.org/10.1016/j.celrep.2026.116937,rgenie https://github.com/Jeremy37/rgenie.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Reports,Integrating natural and engineered genetic variations to decode regulatory influence on blood traits,10.1016/j.celrep.2026.116937,https://doi.org/10.1016/j.celrep.2026.116937,samclip https://github.com/tseemann/samclip.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Genomics,A genome-scale single-cell CRISPRi map of trans gene regulation across human pluripotent stem cell lines,10.1016/j.xgen.2025.101076,https://doi.org/10.1016/j.xgen.2025.101076,Analyzing data from two large-scale CRISRPi screens in iPSCs with single-cell RNA-seq read-out (Github; https://github.com/claudiafeng123/crispri_scrnaseq_hipsci).,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Reports,Distances and charges along the Orai1 nexus-TM3 interface control STIM1 binding and pore opening,10.1016/j.celrep.2026.116940,https://doi.org/10.1016/j.celrep.2026.116940,GitHub Inc. (2025). PROPKA 3.0. https://github.com/jensengroup/propka.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Reports,Ploidy and neuron size impact nervous system development and function in Xenopus,10.1016/j.celrep.2026.116969,https://doi.org/10.1016/j.celrep.2026.116969,"Andrews, S. (2010). FastQC: a quality control tool for high throughput sequence data. https://github.com/s-andrews/FastQC.",data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cancer Cell,A context-augmented large language model for accurate precision oncology medicine recommendations,10.1016/j.ccell.2025.12.017,https://doi.org/10.1016/j.ccell.2025.12.017,Moalmanac-db (Github). github.com/vanallenlab/moalmanac-db/releases/tag/v.2025-10-03.,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
